Headliner,Count,Total_Gross,Tickets_Sold,Avg_Ticket_Price
The Killers,6,5126236.31,22704,235.71
Stevie Wonder,2,5077947.36,26760,189.91
Bailey Zimmerman,12,5016977.75,84697,63.25
Queens of The Stone Age,11,5011222.99,65308,80.68
Heart,13,5009751.33,52795,101.92
"""Dimension 20""",3,5008496.25,39675,124.43
Nurse John,50,4986859.56,106259,45.82
"""Gladiators Live""",5,4908201.28,64131,78.03
Parker McCollum,11,4833834.47,81083,58.44
Stick Figure,8,4822980.08,76357,64.06
Duran Duran,4,4794968.09,46602,107.13
D-Block Europe,8,4791928.09,60468,78.13
Yandel,20,4693305.19,59113,82.54
Picture This,6,4625849.01,57326,80.44
Anuel AA,1,4602409.39,59699,77.09
"""Harry Potter: Visions of Magic""",9,4479053.88,56996,78.57
Mt. Joy,9,4466482.03,67452,66.01
Amble,23,4457738.55,73202,40.06
OneRepublic,5,4430487.49,59050,74.87
Tedeschi Trucks Band,5,4408108.85,40351,94.64
Marco Mengoni,2,4379556.17,62360,85.21
Brad Paisley,11,4330361.05,68318,63.1
Chelo,7,4234605.25,40508,103.27
"""Outlaw Music Festival""",5,4228587.5,58642,75.27
Kygo,2,4114061.52,77470,56.6
Bring Me The Horizon,4,4107117.43,47764,85.8
The Brothers,1,4033680.11,24577,164.12
Nathaniel Rateliff &amp; The Night Sweats,9,3979895.74,55701,69.77
"""AXE Ceremonia Festival""",1,3945543.25,43040,91.67
"Staind, Breaking Benjamin",7,3937123.1,57862,70.23
Cesare Cremonini,1,3931850.54,114702,34.28
Neil Young and The Chrome Hearts,3,3884925.56,39853,95.14
Goose,13,3879425.33,68486,50.4
"""Entre Amigos""",2,3864221.0,35211,112.58
Simple Minds,9,3856616.25,53168,71.5
The Black Keys,7,3803805.11,50376,75.37
Pulp,4,3784531.67,41737,85.92
Morat,5,3779229.48,41441,89.95
ATEEZ,1,3766867.9,28134,133.89
David Garrett,9,3758245.25,36091,88.42
Yuri,6,3731348.59,48430,82.94
Doobie Brothers,8,3715862.42,39270,107.95
Russ,5,3714239.8,44140,82.07
Maria Bethania,16,3707536.76,41776,92.84
Moulin Rouge,1,3697459.94,37777,97.88
Los Tigres Del Norte,5,3692381.44,64479,52.81
"""Summer of '99 and Beyond Festival"", Nickelback",1,3680443.0,39990,92.03
Incubus,5,3649257.25,44049,83.25
"""Arre Pepsi Black""",1,3645927.09,62433,58.4
Los Fabulosos Cadillacs,3,3638555.2,45905,71.33
Gunna,6,3613712.73,49473,72.14
"""Dale Mixx""",1,3584121.37,39980,89.65
Widespread Panic,6,3562006.0,46180,84.2
"Hombres G, Los Enanitos Verdes",5,3449213.65,35032,96.88
The Wolfe Tones,2,3421724.66,56129,60.96
Sarah McLachlan,11,3420267.81,48462,75.96
Karan Aujla,4,3420048.2,37143,92.74
Zayn,1,3377740.87,35225,95.89
Cleo Sol,2,3368397.03,34580,97.52
John Legend,9,3360253.59,29427,119.67
Volbeat,9,3343801.54,54054,59.7
"""The Phantom Of The Opera""",9,3261288.97,32420,100.55
Caamp,11,3217078.96,61468,52.78
"Busted, McFly",3,3215292.89,38063,84.5
Sum 41,6,3203384.75,70364,46.59
Cody Johnson,3,3199431.0,49857,66.44
"John Oliver, Seth Meyers",10,3145479.0,27051,116.27
David Guetta,1,3120731.7,32867,94.95
"""Corona Capital Sessions""",4,3113901.05,32211,99.43
Jack White,11,3103831.15,38216,82.26
Ha*Ash,9,3090223.93,45186,69.6
Eladio Carrión,7,3066932.48,34135,85.42
Dimash Qudaibergen,3,3049212.23,29162,104.32
Omar Courtz,1,3021752.5,44291,68.22
Cazzu,6,3004034.81,45293,62.22
JJ Lin,1,2999033.85,12068,248.51
Michael Ball &amp; Alfie Boe,5,2998993.88,36720,81.54
Feid,13,2985284.05,44658,65.38
Thomas Rhett,4,2922641.5,50777,63.32
Kingfishr,5,2902368.64,42582,62.05
"""Firenze Rocks""",1,2865581.81,31864,89.93
JLS,4,2840311.54,35229,84.95
Fontaines D.C.,2,2810456.09,41792,52.2
Super Junior,2,2806946.25,22467,126.58
James Taylor,3,2774346.5,27120,101.07
Our Lady Peace,7,2773573.22,55190,50.44
"""Pulso GNP""",1,2764154.26,30270,91.32
María José,2,2736345.34,47265,57.91
Empire Of The Sun,3,2731627.68,47421,60.01
"""Neon Festival""",1,2721843.0,17646,154.25
Dei V,3,2721113.69,43517,69.21
Alabama Shakes,6,2693439.55,36351,72.43
Dijon,17,2661367.15,57374,43.88
"""SMTOWN Live""",1,2654756.52,23221,114.33
Lord Huron,8,2645300.23,40938,60.39
Fred again..,3,2637092.57,30163,87.05
Yuridia,3,2626454.39,44643,74.7
Xavier Naidoo,2,2617406.99,32025,81.73
Jimmy Carr,17,2614758.11,48096,50.64
Emmanuel &amp; Mijares,4,2606004.45,35384,73.86
James Arthur,4,2598995.1,35984,69.47
One Ok Rock,8,2588064.66,41111,67.17
Andrea Bocelli,1,2580985.38,17807,144.94
Eden Muñoz,4,2576081.26,31369,93.34
"""Hot Wheels Monster Trucks Live: Glow-N-Fire""",6,2536016.49,50626,51.65
Ludovico Einaudi,2,2533975.03,24500,101.98
Cody Jinks,6,2526247.96,28595,86.71
"""Baum Festival""",1,2522161.6,44882,56.2
Goo Goo Dolls,5,2510943.13,32457,80.81
Papa Roach,8,2502529.73,42129,60.56
The Rose,7,2496477.08,23703,112.28
"""Monster Jam""",1,2492982.3,44628,55.86
Day6,3,2479725.56,19827,119.26
"Breaking Benjamin, Three Days Grace",3,2462990.5,28704,85.57
Tim McGraw,3,2428643.7,21724,165.32
"""Disney On Ice: Find Your Hero""",10,2409030.55,45274,52.13
Matt Mathews,16,2402062.14,44476,54.53
El Tri,2,2400140.16,64935,41.96
"Cirque du Soleil - ""Corteo""",9,2380886.78,27096,87.91
J.I.D.,21,2374638.36,45891,51.02
"""Tycoon Music Festival""",1,2360203.0,13484,175.04
Vald,1,2354994.22,34067,69.13
Paul Smith,8,2310310.36,44162,48.93
Catfish And The Bottlemen,2,2308691.93,28958,74.88
The Script,2,2302061.52,28462,87.62
"""Festival Vaivén""",1,2289506.28,19782,115.74
"Caetano Veloso, Maria Bethania",2,2272409.52,48683,49.17
Zara Larsson,4,2266342.4,36483,65.94
"""Reggae Fest Massive""",1,2238805.5,19259,116.25
NSQK,1,2229528.88,41657,53.52
Blessd,2,2212796.97,43962,50.99
The Red Clay Strays,3,2185934.03,28767,65.26
"Three Days Grace, Volbeat",4,2184885.18,35998,61.04
The 2 Johnnies,3,2182243.9,31045,55.6
"""Rock For People""",1,2178245.44,22143,98.37
Mel Robbins,3,2176626.68,20109,107.48
The Driver Era,18,2168237.97,45224,47.47
"""Tecate Emblema""",1,2157849.78,35706,60.43
Jeff Dunham,11,2149072.12,32518,66.87
Fito &amp; Fitipaldis,1,2119838.06,31752,66.76
Macklemore,2,2112280.41,29877,70.62
Swedish House Mafia,1,2109522.24,30816,68.46
"""Somewhere In The Sky Tour""",3,2104318.0,35938,58.67
BABYMETAL,5,2087520.13,29410,67.44
Silvio Rodríguez,2,2072446.89,30330,63.42
CA7RIEL &amp; Paco Amoroso,4,2035220.03,38602,48.98
Doechii,4,2032136.83,22745,90.86
Khruangbin,6,2030701.82,34956,58.51
Oscar And The Wolf,1,2029138.88,30174,67.25
Ice Nine Kills,7,2023867.2,33120,61.35
Charlie Wilson,6,2021649.87,29816,73.06
LE SSERAFIM,1,2012908.75,12335,163.19
Santana,2,1986223.2,17804,111.1
Daniel Tosh,7,1973307.26,22162,96.96
Trey Anastasio,7,1970059.2,22300,80.33
Jim Gaffigan,3,1959122.91,24509,80.46
